"_unit_id"	"_created_at"	"_id"	"_started_at"	"_tainted"	"_channel"	"_trust"	"_worker_id"	"_country"	"_region"	"_city"	"_ip"	"describe_the_situation_in_arabic"	"image_url"	"category"	"label"
627513427	"12/17/2014 13:19:44"	1504661028	"12/17/2014 13:18:13"	"false"	"neodev"	1	30307493	"EGY"	12	"Banha"	"41.232.56.255"	"كلب يجلس بجانب بيت خشب"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bejaaneb"
627513427	"12/17/2014 13:51:58"	1504678238	"12/17/2014 13:48:55"	"false"	"clixsense"	1	29857394	"EGY"	11	"Cairo"	"197.162.119.52"	"كلب يقف بجانب بيته"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bejaaneb"
627513427	"12/17/2014 13:53:14"	1504678926	"12/17/2014 13:49:55"	"false"	"neodev"	1	28633898	"EGY"	11	"Cairo"	"197.162.119.52"	"كلب يقف بجانب بيته"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bejaaneb"
627513427	"12/17/2014 14:57:19"	1504710739	"12/17/2014 14:52:25"	"false"	"neodev"	1	11007840	"EGY"	3	"Ramsis"	"41.232.0.64"	"هذا كلب يجلس بجانب بيته الخشبي الصغير ."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bejaaneb"
627513427	"12/17/2014 13:53:23"	1504679012	"12/17/2014 13:47:27"	"false"	"neodev"	1	30514915	"EGY"	6	"Alexandria"	"41.234.233.222"	". كلب يقف بجوار بيته"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bjwar"
627513427	"12/17/2014 14:21:23"	1504692995	"12/17/2014 14:12:27"	"false"	"neodev"	1	30500961	"EGY"			"197.160.119.76"	"الكلب يجلس جوار منزله"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bjwar"
627513427	"12/17/2014 13:50:43"	1504677586	"12/17/2014 13:41:44"	"false"	"neodev"	1	21386903	"EGY"	8	"Gîza"	"41.45.126.128"	"كلب أصفر اللون يجلس بجوار الكشك الخاص به"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bjwar"
627513427	"12/17/2014 15:21:56"	1504722954	"12/17/2014 15:14:02"	"false"	"tremorgames"	1	29295894	"EGY"	17	"Assiut"	"197.32.39.231"	"كلب بجوار منزله."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bjwar"
627513427	"12/17/2014 15:19:52"	1504722220	"12/17/2014 15:17:35"	"false"	"neodev"	1	29927414	"EGY"	11	"Cairo"	"197.37.28.194"	"كلب جميل بجوار بيته"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bjwar"
627513427	"12/17/2014 14:38:07"	1504701154	"12/17/2014 14:31:33"	"false"	"neodev"	1	28096293	"EGY"	11	"Cairo"	"105.40.249.42"	"كلب يجلس بجوار منزلة وبعض الحشائش"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/06.pdf.jpg"	1	"bjwar"
